committee,id,place_name,jew,pal,coop,cluster,place_id,box,bloc,elligible,voters,illegal,legal,AMT,B,G,D,WM,T,KN,L,MHL,MRC,AM,PH,SS,others,prop_voters,p_AMT,p_B,p_G,p_D,p_WM,p_T,p_KN,p_L,p_MHL,p_MRC,p_AM,p_PH,p_SS,p_others
10,4716,ARSOP,1,0,0,9,1324,1,1,147,80,0,80,5,0,0,0,0,3,7,2,10,10,0,42,1,0,0.544217687,0.0625,0,0,0,0,0.0375,0.0875,0.025,0.125,0.125,0,0.525,0.0125,0
10,4723,BCRH,1,0,0,9,389,1,1,343,244,1,243,19,0,0,0,0,13,36,3,29,10,2,118,2,11,0.70845481,0.0781893,0,0,0,0,0.053497942,0.148148148,0.012345679,0.119341564,0.041152263,0.008230453,0.485596708,0.008230453,0.04526749
10,4724,BCRH,1,0,0,9,389,2,1,470,360,0,360,29,4,0,0,0,6,58,8,25,36,0,189,1,4,0.765957447,0.080555556,0.011111111,0,0,0,0.016666667,0.161111111,0.022222222,0.069444444,0.1,0,0.525,0.002777778,0.011111111
13,6588,BIT EOBD,1,0,0,9,202,1,1,255,186,1,185,28,0,0,1,0,2,23,3,13,20,0,93,0,2,0.725490196,0.151351351,0,0,0.005405405,0,0.010810811,0.124324324,0.016216216,0.07027027,0.108108108,0,0.502702703,0,0.010810811
10,4611,BIT INAI,1,0,0,9,200,1,1,308,201,0,201,15,0,0,0,1,1,30,2,9,34,0,106,1,2,0.652597403,0.074626866,0,0,0,0.004975124,0.004975124,0.149253731,0.009950249,0.044776119,0.169154229,0,0.527363184,0.004975124,0.009950249
11,5387,BNI ETROT,1,0,0,9,448,1,1,603,485,0,485,50,5,3,0,2,10,107,7,49,48,0,192,5,7,0.804311774,0.103092784,0.010309278,0.006185567,0,0.004123711,0.020618557,0.220618557,0.01443299,0.101030928,0.098969072,0,0.395876289,0.010309278,0.01443299
19,11018,COPIT,1,0,0,9,198,1,1,460,334,0,334,44,3,0,0,0,14,53,6,29,24,3,152,5,1,0.726086957,0.131736527,0.008982036,0,0,0,0.041916168,0.158682635,0.017964072,0.086826347,0.071856287,0.008982036,0.45508982,0.01497006,0.002994012
19,11019,COPIT,1,0,0,9,198,2,1,398,294,0,294,29,1,0,0,0,6,49,4,19,28,0,154,3,1,0.738693467,0.098639456,0.003401361,0,0,0,0.020408163,0.166666667,0.013605442,0.06462585,0.095238095,0,0.523809524,0.010204082,0.003401361
18,9766,EIN TMR,1,0,0,9,1251,1,1,158,98,0,98,4,3,1,0,0,7,24,2,23,0,0,34,0,0,0.620253165,0.040816327,0.030612245,0.010204082,0,0,0.071428571,0.244897959,0.020408163,0.234693878,0,0,0.346938776,0,0
13,6856,EXRT,1,0,0,9,591,1,1,486,344,1,343,21,5,2,0,0,12,60,10,38,23,0,166,1,5,0.705761317,0.06122449,0.014577259,0.005830904,0,0,0.034985423,0.174927114,0.029154519,0.110787172,0.067055394,0,0.483965015,0.002915452,0.014577259
13,6857,EXRT,1,0,0,9,591,2,1,395,299,0,299,27,4,2,0,1,5,46,5,32,22,0,151,1,3,0.756962025,0.090301003,0.013377926,0.006688963,0,0.003344482,0.016722408,0.153846154,0.016722408,0.107023411,0.073578595,0,0.505016722,0.003344482,0.010033445
5,2096,GBET ALH,1,0,0,9,1288,1.1,2,523,361,1,360,40,6,0,0,2,10,44,7,39,42,1,160,4,5,0.68833652,0.111111111,0.016666667,0,0,0.005555556,0.027777778,0.122222222,0.019444444,0.108333333,0.116666667,0.002777778,0.444444444,0.011111111,0.013888889
5,2097,GBET ALH,1,0,0,9,1288,1.2,2,523,390,1,389,39,0,0,0,1,7,57,8,44,33,0,196,0,4,0.743785851,0.100257069,0,0,0,0.002570694,0.017994859,0.146529563,0.020565553,0.11311054,0.084832905,0,0.503856041,0,0.010282776
5,2098,GBET ALH,1,0,0,9,1288,1.3,2,521,386,0,386,44,2,0,0,2,7,47,5,29,42,0,204,3,1,0.740882917,0.113989637,0.005181347,0,0,0.005181347,0.018134715,0.121761658,0.012953368,0.075129534,0.10880829,0,0.528497409,0.007772021,0.002590674
10,4629,GBET XPIRA,1,0,0,9,1077,1,1,226,177,0,177,18,2,0,0,1,4,32,3,7,13,0,92,2,3,0.783185841,0.101694915,0.011299435,0,0,0.005649718,0.02259887,0.18079096,0.016949153,0.039548023,0.073446328,0,0.519774011,0.011299435,0.016949153
10,4731,JIROT,1,0,0,9,162,1,1,446,355,0,355,75,0,0,0,1,4,57,1,15,28,0,170,2,2,0.795964126,0.211267606,0,0,0,0.002816901,0.011267606,0.16056338,0.002816901,0.042253521,0.078873239,0,0.478873239,0.005633803,0.005633803
10,4732,JIROT,1,0,0,9,162,2,1,517,392,0,392,74,5,0,0,1,4,56,6,14,31,0,192,1,8,0.758220503,0.18877551,0.012755102,0,0,0.00255102,0.010204082,0.142857143,0.015306122,0.035714286,0.079081633,0,0.489795918,0.00255102,0.020408163
19,10857,KOKB IAIR,1,0,0,9,1224,1.1,104,533,382,0,382,21,14,1,1,2,15,52,9,59,19,0,180,5,4,0.716697936,0.054973822,0.036649215,0.002617801,0.002617801,0.005235602,0.039267016,0.136125654,0.023560209,0.154450262,0.04973822,0,0.471204188,0.013089005,0.010471204
19,10858,KOKB IAIR,1,0,0,9,1224,1.2,104,533,408,1,407,19,24,0,0,0,28,67,13,61,25,0,165,0,5,0.763602251,0.046683047,0.058968059,0,0,0,0.068796069,0.164619165,0.031941032,0.14987715,0.061425061,0,0.405405405,0,0.012285012
19,10859,KOKB IAIR,1,0,0,9,1224,1.3,104,533,382,0,382,31,21,1,0,0,15,47,6,62,22,0,168,3,6,0.716697936,0.081151832,0.054973822,0.002617801,0,0,0.039267016,0.123036649,0.015706806,0.162303665,0.057591623,0,0.439790576,0.007853403,0.015706806
19,10860,KOKB IAIR,1,0,0,9,1224,1.4,104,530,394,0,394,30,19,0,0,1,21,53,17,72,29,0,150,1,1,0.743396226,0.076142132,0.04822335,0,0,0.002538071,0.053299492,0.134517766,0.043147208,0.182741117,0.073604061,0,0.38071066,0.002538071,0.002538071
19,10861,KOKB IAIR,1,0,0,9,1224,5,107,471,345,0,345,35,11,0,0,1,14,53,10,50,33,1,131,0,6,0.732484076,0.101449275,0.031884058,0,0,0.002898551,0.04057971,0.153623188,0.028985507,0.144927536,0.095652174,0.002898551,0.379710145,0,0.017391304
19,10862,KOKB IAIR,1,0,0,9,1224,6,107,421,313,1,312,30,2,0,0,0,18,51,8,45,18,2,136,0,2,0.741092637,0.096153846,0.006410256,0,0,0,0.057692308,0.163461538,0.025641026,0.144230769,0.057692308,0.006410256,0.435897436,0,0.006410256
19,10863,KOKB IAIR,1,0,0,9,1224,7,107,518,385,0,385,42,4,0,0,0,17,58,7,52,24,0,177,0,4,0.743243243,0.109090909,0.01038961,0,0,0,0.044155844,0.150649351,0.018181818,0.135064935,0.062337662,0,0.45974026,0,0.01038961
12,5937,KPR DNIAL,1,0,0,9,707,1,1,505,362,0,362,40,2,4,0,1,8,54,11,31,33,0,169,0,9,0.716831683,0.110497238,0.005524862,0.011049724,0,0.002762431,0.022099448,0.149171271,0.03038674,0.085635359,0.091160221,0,0.466850829,0,0.024861878
10,4740,KPR NTR,1,0,0,9,316,1.1,1,353,268,0,268,31,1,0,0,1,10,41,1,32,27,0,117,3,4,0.759206799,0.115671642,0.003731343,0,0,0.003731343,0.037313433,0.152985075,0.003731343,0.119402985,0.100746269,0,0.436567164,0.01119403,0.014925373
